"clan","year","num.sessions"
"happy.zebra","2008",199
"happy.zebra","2009",369
"happy.zebra","2010",246
"happy.zebra","2011",214
"happy.zebra","2012",282
"happy.zebra","2013",368
"happy.zebra","2014",289
"happy.zebra","2015",499
"happy.zebra","2016",323
"happy.zebra","2017",228
"happy.zebra","2018",20
"serena.n","2008",262
"serena.n","2009",351
"serena.n","2010",512
"serena.n","2011",904
"serena.n","2012",501
"serena.n","2013",993
"serena.n","2014",884
"serena.n","2015",561
"serena.n","2016",472
"serena.n","2017",489
"serena.n","2018",55
"serena.s","2008",60
"serena.s","2009",281
"serena.s","2010",386
"serena.s","2011",725
"serena.s","2012",391
"serena.s","2013",508
"serena.s","2014",436
"serena.s","2015",563
"serena.s","2016",734
"serena.s","2017",613
"talek","1988",763
"talek","1989",1649
"talek","1990",1628
"talek","1991",1914
"talek","1992",2595
"talek","1993",2642
"talek","1994",2705
"talek","1995",4354
"talek","1996",5098
"talek","1997",6981
"talek","1998",4955
"talek","1999",4622
"talek","2000",4175
"talek","2001",4885
"talek","2002",4694
"talek","2003",3499
"talek","2004",3875
"talek","2005",4530
"talek","2006",3578
"talek","2007",1737
"talek","2008",2386
"talek","2009",2792
"talek","2010",2613
"talek","2011",2556
"talek","2012",3597
"talek","2013",3841
"talek","2014",3657
"talek","2015",2668
"talek","2016",2247
